timecreated,timemodified,assignmentid,assignmentname,courseid,coursename,userid,assessment_json
2017-03-27,2017-03-27,555,Walk Around Inspection Workorder 1,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002460 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002460 Skill definition__1740130757231.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002460 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002460 Participant worksheet__1740130741319.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,556,Walk Around Inspection Workorder 2,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002460 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002460 Skill definition__1740130757231.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002460 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002460 Participant worksheet__1740130741319.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,557,Walk Around Inspection Workorder 3,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002460 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002460 Skill definition__1740130757231.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002460 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002460 Participant worksheet__1740130741319.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,558,Removal and Installation of Filters Workorder 1,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002463 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002463 Skill definition__1740130552384.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002463 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002463 Participant worksheet__1740130568477.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,559,Removal and Installation of Filters Workorder 2,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002463 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002463 Skill definition__1740130552384.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002463 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002463 Participant worksheet__1740130568477.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,560,Removal and Installation of Filters Workorder 3,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002463 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002463 Skill definition__1740130552384.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002463 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002463 Participant worksheet__1740130568477.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,561,Identify maintenance information from OMM Workorder 1,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002471 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002471 Skill definition__1740130666891.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002471 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002471 Participant worksheet__1740130565207.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,562,Identify maintenance information from OMM Workorder 2,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002471 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002471 Skill definition__1740130666891.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002471 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002471 Participant worksheet__1740130565207.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,563,Identify maintenance information from OMM Workorder 3,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002471 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002471 Skill definition__1740130666891.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002471 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002471 Participant worksheet__1740130565207.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,564,Perform using Power Tools workorder 1,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002442 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002442 Skill definition__1740130606276.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": []
  }
}"
